Mes,fecha,categoria,cuenta,cantidad,etiquetas,comentario,tipo_logico
2025-12,2025-12-31,Entretenimiento,Principal,45,,Nochevieja,Entretenimiento
2025-12,2025-12-31,Hosteleria,Principal,20.6,,Tardevieja,Hosteleria
2025-12,2025-12-31,Otros,Ahorro,144.81,Domiciliación,,Otros
2025-12,2025-12-28,Transporte,Revolut,33.97,,Londres,Transporte
2025-12,2025-12-28,Entretenimiento,Principal,56.7,,"Cine, avatar",Entretenimiento
2025-12,2025-12-28,Otros,Principal,23.65,Regalos,Regalo amigo invisible Papa,Otros
2025-12,2025-12-28,Otros,Principal,49.94,Regalos,Regalo Papa,Otros
2025-12,2025-12-27,Hosteleria,Trade Republic,30.5,,Escalada con Marcos,Hosteleria
2025-12,2025-12-27,Hosteleria,Amex,100.8,,Cena navidad,Hosteleria
2025-12,2025-12-27,Hosteleria,Principal,2.75,,Tardebuena,Hosteleria
2025-12,2025-12-26,Otros,Amex,91.48,,Regalos primos,Otros
2025-12,2025-12-26,Otros,Amex,91.72,,Vale de regalo amazon,Otros
2025-12,2025-12-26,Otros,Principal,49.99,Regalos,Regalo navidad mama,Otros
2025-12,2025-12-23,Transporte,Amex,6.84,,Londres,Transporte
2025-12,2025-12-22,Otros,Revolut,12,,Souvenirs londres,Otros
2025-12,2025-12-22,Transporte,Amex,10.49,,Londres,Transporte
2025-12,2025-12-22,Otros,Degiro,5.75,Comision,,Otros
2025-12,2025-12-21,Otros,Revolut,46,Regalos,,Otros
2025-12,2025-12-21,Transporte,Amex,6.58,,Londres,Transporte
2025-12,2025-12-20,Hosteleria,Revolut,135.49,,Invitar familia,Hosteleria
2025-12,2025-12-20,Transporte,Amex,10.12,,Londres,Transporte
2025-12,2025-12-18,Hosteleria,Principal,23.3,,,Hosteleria
2025-12,2025-12-17,Otros,Amex,33.99,Regalos,Regalo Andrea ,Otros
2025-12,2025-12-17,Otros,Amex,10,Peluqueria,,Otros
2025-12,2025-12-15,Otros,Degiro,2,Comision,,Otros
2025-12,2025-12-14,Otros,Amex,23,Chat Gpt,,Otros
2025-12,2025-12-13,Transporte,Cobee,10,,,Transporte
2025-12,2025-12-13,Hosteleria,Cobee,14,,,Hosteleria
2025-12,2025-12-12,Hosteleria,Amex,48.7,,,Hosteleria
2025-12,2025-12-12,Hosteleria,Cobee,6,,,Hosteleria
2025-12,2025-12-12,Otros,Ahorro,27.1,Domiciliación,,Otros
2025-12,2025-12-11,Otros,Amex,19.04,,Visado ETA,Otros
2025-12,2025-12-10,Hosteleria,Cobee,3.5,,,Hosteleria
2025-12,2025-12-10,Otros,Amex,8.29,,Compra a Andrea,Otros
2025-12,2025-12-08,Hosteleria,Principal,35,,Cena navidad,Hosteleria
2025-12,2025-12-08,Transporte,Principal,17.59,Mallorca,,Transporte
2025-12,2025-12-08,Otros,Principal,10,Regalos,,Otros
2025-12,2025-12-07,Hosteleria,Amex,6,Mallorca,,Hosteleria
2025-12,2025-12-07,Alimentacion,Principal,28.48,Mallorca,,Alimentacion
2025-12,2025-12-06,Alimentacion,Amex,37.19,Mallorca,,Alimentacion
2025-12,2025-12-05,Alimentacion,Amex,69.5,Mallorca,,Alimentacion
2025-12,2025-12-05,Transporte,Principal,125.79,Mallorca,,Transporte
2025-12,2025-12-01,Otros,Cobee,76.58,Ingles,,Otros
2025-12,2025-12-01,Otros,Ahorro,10,Domiciliación,,Otros
2025-11,2025-11-30,Entretenimiento,Principal,9.9,,Comida cine,Entretenimiento
2025-11,2025-11-29,Hosteleria,Principal,16.6,,,Hosteleria
2025-11,2025-11-29,Otros,Amex,76.06,,Camisas,Otros
2025-11,2025-11-29,Otros,Amex,86,,Levis,Otros
2025-11,2025-11-27,Hosteleria,Principal,20.4,,Furbo,Hosteleria
2025-11,2025-11-23,Otros,Degiro,1.98,Comision,,Otros
2025-11,2025-11-23,Hosteleria,Principal,3.1,,,Hosteleria
2025-11,2025-11-23,Otros,Amex,34.9,Mi regalo,,Regalos
2025-11,2025-11-23,Otros,Amex,27.21,,Last of us,Otros
2025-11,2025-11-22,Alimentacion,Principal,3.19,,,Alimentacion
2025-11,2025-11-22,Hosteleria,Cobee,6.5,,,Hosteleria
2025-11,2025-11-21,Hosteleria,Principal,31,,,Hosteleria
2025-11,2025-11-21,Hosteleria,Cobee,8,,,Hosteleria
2025-11,2025-11-20,Hosteleria,Cobee,17,,,Hosteleria
2025-11,2025-11-18,Otros,Amex,126.9,,Tocadiscos,Otros
2025-11,2025-11-16,Transporte,Principal,15,,Boda Luis,Transporte
2025-11,2025-11-15,Otros,Metálico,150,,Boda Luis,Otros
2025-11,2025-11-15,Otros,Principal,5,,Donacion ,Otros
2025-11,2025-11-14,Hosteleria,Amex,4,,,Hosteleria
2025-11,2025-11-14,Otros,Amex,23,Chat Gpt,,Otros
2025-11,2025-11-14,Entretenimiento,Principal,16,,Boda Luis,Entretenimiento
2025-11,2025-11-13,Otros,Principal,0.75,,Boda Luis,Otros
2025-11,2025-11-13,Alimentacion,Principal,1.99,,,Alimentacion
2025-11,2025-11-12,Otros,Amex,190,Regalos,Hamman,Otros
2025-11,2025-11-12,Transporte,Cobee,10,,,Transporte
2025-11,2025-11-12,Entretenimiento,Principal,28.2,,Boda Luis,Entretenimiento
2025-11,2025-11-10,Otros,Amex,10,Peluqueria,,Otros
2025-11,2025-11-09,Transporte,Principal,32.63,,,Transporte
2025-11,2025-11-09,Hosteleria,Principal,29,,,Hosteleria
2025-11,2025-11-09,Entretenimiento,Principal,22,,Cuevas del aguila,Entretenimiento
2025-11,2025-11-08,Hosteleria,Cobee,57.2,,,Hosteleria
2025-11,2025-11-07,Otros,Amex,12,,Legos,Otros
2025-11,2025-11-07,Hosteleria,Cobee,32.4,,,Hosteleria
2025-11,2025-11-07,Hosteleria,Cobee,6,,,Hosteleria
2025-11,2025-11-06,Hosteleria,Principal,21.67,Viaje trabajo,,Hosteleria
2025-11,2025-11-06,Transporte,Principal,58.8,Viaje trabajo,,Transporte
2025-11,2025-11-06,Transporte,Amex,23,Viaje trabajo,,Transporte
2025-11,2025-11-05,Hosteleria,Principal,9,Viaje trabajo,,Hosteleria
2025-11,2025-11-05,Transporte,Principal,23,Viaje trabajo,,Transporte
2025-11,2025-11-05,Hosteleria,Cobee,10.95,Viaje trabajo,,Hosteleria
2025-11,2025-11-04,Hosteleria,Cobee,10.95,Viaje trabajo,,Hosteleria
2025-11,2025-11-03,Transporte,Amex,23,Viaje trabajo,,Transporte
2025-11,2025-11-03,Hosteleria,Cobee,14.4,Viaje trabajo,,Hosteleria
2025-11,2025-11-03,Hosteleria,Cobee,10.95,Viaje trabajo,,Hosteleria
2025-11,2025-11-02,Transporte,Amex,58.35,Viaje trabajo,,Transporte
2025-11,2025-11-02,Transporte,Amex,22.6,Viaje trabajo,,Transporte
2025-11,2025-11-01,Transporte,Amex,35.27,,,Transporte
2025-11,2025-11-01,Otros,Cobee,76.58,Ingles,,Otros
2025-11,2025-11-01,Hosteleria,Cobee,11,,,Hosteleria
2025-10,2025-10-31,Transporte,Principal,15,,,Transporte
2025-10,2025-10-31,Otros,Principal,30,,Pasaporte,Otros
2025-10,2025-10-30,Hosteleria,Cobee,17.95,,,Hosteleria
2025-10,2025-10-29,Entretenimiento,Amex,16.9,,Disfraz Halloween ,Entretenimiento
2025-10,2025-10-28,Otros,Amex,30.25,,Subscripción Amex ,Otros
2025-10,2025-10-26,Otros,Metálico,30,,Boda Rosa ,Otros
2025-10,2025-10-26,Otros,Principal,120,,Boda Rosa,Otros
2025-10,2025-10-26,Hosteleria,Cobee,8.7,,,Hosteleria
2025-10,2025-10-26,Hosteleria,Principal,2.9,,,Hosteleria
2025-10,2025-10-24,Hosteleria,Cobee,81.9,,,Hosteleria
2025-10,2025-10-24,Hosteleria,Cobee,8,,100mon,Hosteleria
2025-10,2025-10-23,Hosteleria,Cobee,3.5,,,Hosteleria
2025-10,2025-10-21,Transporte,Metálico,2,,,Transporte
2025-10,2025-10-19,Hosteleria,Principal,9.42,,,Hosteleria
2025-10,2025-10-18,Otros,Amex,26.12,Regalos,,Otros
2025-10,2025-10-17,Hosteleria,Principal,3.5,,,Hosteleria
2025-10,2025-10-17,Hosteleria,Cobee,13,,,Hosteleria
2025-10,2025-10-15,Hosteleria,Cobee,14.99,,,Hosteleria
2025-10,2025-10-14,Otros,Amex,23,Chat Gpt,,Otros
2025-10,2025-10-11,Hosteleria,Cobee,13.8,,,Hosteleria
2025-10,2025-10-10,Hosteleria,Cobee,6,,,Hosteleria
2025-10,2025-10-07,Transporte,Cobee,10,,,Transporte
2025-10,2025-10-04,Alimentacion,Cobee,2,,,Alimentacion
2025-10,2025-10-04,Hosteleria,Principal,9.75,,,Hosteleria
2025-10,2025-10-04,Transporte,Principal,1.42,,,Transporte
2025-10,2025-10-03,Hosteleria,Cobee,44.7,Kebab,,Hosteleria
2025-10,2025-10-03,Hosteleria,Cobee,4.5,,,Hosteleria
2025-10,2025-10-01,Otros,Cobee,76.58,Ingles,,Otros
2025-10,2025-10-01,Hosteleria,Principal,3,,,Hosteleria
2025-09,2025-09-30,Otros,Amex,190,,Curso invertir ,Otros
2025-09,2025-09-30,Otros,Principal,19.99,,,Otros
2025-09,2025-09-28,Hosteleria,Cobee,8.15,,Desayuno,Hosteleria
2025-09,2025-09-28,Hosteleria,Principal,9.15,,Cumpleaños alex,Hosteleria
2025-09,2025-09-26,Transporte,Amex,39.95,,,Transporte
2025-09,2025-09-26,Hosteleria,Cobee,9.5,,,Hosteleria
2025-09,2025-09-26,Transporte,Principal,11.44,,,Transporte
2025-09,2025-09-24,Otros,Amex,10,Peluqueria,,Otros
2025-09,2025-09-20,Hosteleria,Cobee,37.3,,,Hosteleria
2025-09,2025-09-19,Hosteleria,Ahorro,3.8,,,Hosteleria
2025-09,2025-09-19,Otros,Amex,45.08,Regalos,,Otros
2025-09,2025-09-19,Hosteleria,Principal,15,,Octoberfest,Hosteleria
