Mes,fecha,categoria,cuenta,cantidad,etiquetas,comentario,tipo_logico
2025-12,2025-12-28,Transporte,Ahorro,68,,Londres,Reembolso Transporte
2025-12,2025-12-28,Otros,Principal,21.95,,Regalo de mama,Reembolso Otros
2025-12,2025-12-28,Otros,Principal,92,,Regalos primo Alberto,Reembolso Otros
2025-12,2025-12-28,Otros,Principal,36.8,Regalos,Regalo Jaume,Reembolso Otros
2025-12,2025-12-27,Hosteleria,Principal,76.8,,Cena Navidad alkk,Reembolso Hosteleria
2025-12,2025-12-22,Salario,Ahorro,3182.88,Salario,,Ingreso Real
2025-12,2025-12-22,Salario,Cobee,306.58,Cobee,,Ingreso Real
2025-12,2025-12-15,Salario,Metálico,20,Abuelos,,Vacaciones
2025-12,2025-12-13,Hosteleria,Principal,4.66,Mallorca,,Reembolso Hosteleria
2025-12,2025-12-13,Hosteleria,Principal,10.5,,,Reembolso Hosteleria
2025-12,2025-12-13,Otros,Principal,36.8,Chat Gpt,,Reembolso Otros
2025-12,2025-12-12,Hosteleria,Principal,37.8,,,Reembolso Hosteleria
2025-12,2025-12-12,Transporte,Ahorro,208.75,Viaje trabajo,,Reembolso Transporte
2025-12,2025-12-12,Hosteleria,Ahorro,267.5,Viaje trabajo,,Reembolso Hosteleria
2025-12,2025-12-08,Transporte,Principal,98.94,Mallorca,,Reembolso Transporte
2025-12,2025-12-03,Interes,My Investor,15.51,Interes,,Rendimiento Financiero
2025-12,2025-12-01,Salario,Metálico,20,Abuelos,,Vacaciones
2025-11,2025-11-25,Salario,Cobee,306.58,Cobee,,Ingreso Real
2025-11,2025-11-25,Salario,Ahorro,2367.99,Salario,,Ingreso Real
2025-11,2025-11-24,Otros,Principal,127,,,Reembolso Otros
2025-11,2025-11-22,Hosteleria,Principal,4.25,,,Reembolso Hosteleria
2025-11,2025-11-21,Hosteleria,Principal,6,,,Reembolso Hosteleria
2025-11,2025-11-17,Salario,Metálico,20,Abuelos,,Vacaciones
2025-11,2025-11-07,Hosteleria,Principal,19.5,,,Reembolso Hosteleria
2025-11,2025-11-06,Interes,My Investor,14.52,Interes,,Rendimiento Financiero
2025-11,2025-11-05,Interes,Ahorro,201.72,Interes,Remuneración ,Rendimiento Financiero
2025-10,2025-10-28,Salario,Cobee,306.58,Cobee,,Ingreso Real
2025-10,2025-10-28,Salario,Ahorro,1199.69,Salario,,Ingreso Real
2025-10,2025-10-27,Salario,Metálico,20,Abuelos,,Vacaciones
2025-10,2025-10-24,Hosteleria,Principal,58.6,,,Reembolso Hosteleria
2025-10,2025-10-13,Otros,Principal,18.4,Chat Gpt,,Reembolso Otros
2025-10,2025-10-13,Salario,Metálico,10,Abuelos,,Vacaciones
2025-10,2025-10-11,Hosteleria,Principal,9.9,,,Reembolso Hosteleria
2025-10,2025-10-08,Interes,My Investor,12.97,Interes,,Rendimiento Financiero
2025-10,2025-10-08,Hosteleria,Principal,7.45,,,Reembolso Hosteleria
2025-10,2025-10-06,Salario,Metálico,10,Abuelos,,Vacaciones
2025-10,2025-10-03,Hosteleria,Principal,23.85,,,Reembolso Hosteleria
2025-10,2025-10-03,Entretenimiento,Principal,19,,,Reembolso Entretenimiento
2025-09,2025-09-30,Salario,Metálico,20,Abuelos,,Vacaciones
2025-09,2025-09-28,Hosteleria,Principal,4.65,,,Reembolso Hosteleria
2025-09,2025-09-26,Hosteleria,Principal,1.5,,,Reembolso Hosteleria
2025-09,2025-09-26,Hosteleria,Principal,4,,,Reembolso Hosteleria
